English,Infinitive,Tense,Pronoun,Conjugation
to visit,besuchen,Present,ich,besuche
to visit,besuchen,Present,du,besuchst
to visit,besuchen,Present,er/sie/es,besucht
to visit,besuchen,Present,wir,besuchen
to visit,besuchen,Present,ihr,besucht
to visit,besuchen,Present,sie/Sie,besuchen
to visit,besuchen,Imperfect,ich,besuchte
to visit,besuchen,Imperfect,du,besuchtest
to visit,besuchen,Imperfect,er/sie/es,besuchte
to visit,besuchen,Imperfect,wir,besuchten
to visit,besuchen,Imperfect,ihr,besuchtet
to visit,besuchen,Imperfect,sie/Sie,besuchten
to visit,besuchen,Perfect,ich,habe besucht
to visit,besuchen,Perfect,du,hast besucht
to visit,besuchen,Perfect,er/sie/es,hat besucht
to visit,besuchen,Perfect,wir,haben besucht
to visit,besuchen,Perfect,ihr,habt besucht
to visit,besuchen,Perfect,sie/Sie,haben besucht
to recommend,empfehlen,Present,ich,empfehle
to recommend,empfehlen,Present,du,empfiehlst
to recommend,empfehlen,Present,er/sie/es,empfiehlt
to recommend,empfehlen,Present,wir,empfehlen
to recommend,empfehlen,Present,ihr,empfehlt
to recommend,empfehlen,Present,sie/Sie,empfehlen
to recommend,empfehlen,Imperfect,ich,empfahl
to recommend,empfehlen,Imperfect,du,empfahlst
to recommend,empfehlen,Imperfect,er/sie/es,empfahl
to recommend,empfehlen,Imperfect,wir,empfahlen
to recommend,empfehlen,Imperfect,ihr,empfahlt
to recommend,empfehlen,Imperfect,sie/Sie,empfahlen
to recommend,empfehlen,Perfect,ich,habe empfohlen
to recommend,empfehlen,Perfect,du,hast empfohlen
to recommend,empfehlen,Perfect,er/sie/es,hat empfohlen
to recommend,empfehlen,Perfect,wir,haben empfohlen
to recommend,empfehlen,Perfect,ihr,habt empfohlen
to recommend,empfehlen,Perfect,sie/Sie,haben empfohlen
to meet,treffen,Present,ich,treffe
to meet,treffen,Present,du,triffst
to meet,treffen,Present,er/sie/es,trifft
to meet,treffen,Present,wir,treffen
to meet,treffen,Present,ihr,trefft
to meet,treffen,Present,sie/Sie,treffen
to meet,treffen,Imperfect,ich,traf
to meet,treffen,Imperfect,du,trafst
to meet,treffen,Imperfect,er/sie/es,traf
to meet,treffen,Imperfect,wir,trafen
to meet,treffen,Imperfect,ihr,traft
to meet,treffen,Imperfect,sie/Sie,trafen
to meet,treffen,Perfect,ich,habe getroffen
to meet,treffen,Perfect,du,hast getroffen
to meet,treffen,Perfect,er/sie/es,hat getroffen
to meet,treffen,Perfect,wir,haben getroffen
to meet,treffen,Perfect,ihr,habt getroffen
to meet,treffen,Perfect,sie/Sie,haben getroffen
to meet,treffen,Perfect,ich,bin getroffen
to meet,treffen,Perfect,du,bist getroffen
to meet,treffen,Perfect,er/sie/es,ist getroffen
to meet,treffen,Perfect,wir,sind getroffen
to meet,treffen,Perfect,ihr,seid getroffen
to meet,treffen,Perfect,sie/Sie,sind getroffen
 to look for,suchen,Present,ich,suche
 to look for,suchen,Present,du,suchst
 to look for,suchen,Present,er/sie/es,sucht
 to look for,suchen,Present,wir,suchen
 to look for,suchen,Present,ihr,sucht
 to look for,suchen,Present,sie/Sie,suchen
 to look for,suchen,Imperfect,ich,suchte
 to look for,suchen,Imperfect,du,suchtest
 to look for,suchen,Imperfect,er/sie/es,suchte
 to look for,suchen,Imperfect,wir,suchten
 to look for,suchen,Imperfect,ihr,suchtet
 to look for,suchen,Imperfect,sie/Sie,suchten
 to look for,suchen,Perfect,ich,habe gesucht
 to look for,suchen,Perfect,du,hast gesucht
 to look for,suchen,Perfect,er/sie/es,hat gesucht
 to look for,suchen,Perfect,wir,haben gesucht
 to look for,suchen,Perfect,ihr,habt gesucht
 to look for,suchen,Perfect,sie/Sie,haben gesucht
to stroll,spazieren,Present,ich,spaziere
to stroll,spazieren,Present,du,spazierst
to stroll,spazieren,Present,er/sie/es,spaziert
to stroll,spazieren,Present,wir,spazieren
to stroll,spazieren,Present,ihr,spaziert
to stroll,spazieren,Present,sie/Sie,spazieren
to stroll,spazieren,Imperfect,ich,spazierte
to stroll,spazieren,Imperfect,du,spaziertest
to stroll,spazieren,Imperfect,er/sie/es,spazierte
to stroll,spazieren,Imperfect,wir,spazierten
to stroll,spazieren,Imperfect,ihr,spaziertet
to stroll,spazieren,Imperfect,sie/Sie,spazierten
to stroll,spazieren,Perfect,ich,bin spaziert
to stroll,spazieren,Perfect,du,bist spaziert
to stroll,spazieren,Perfect,er/sie/es,ist spaziert
to stroll,spazieren,Perfect,wir,sind spaziert
to stroll,spazieren,Perfect,ihr,seid spaziert
to stroll,spazieren,Perfect,sie/Sie,sind spaziert
to need,brauchen,Present,ich,brauche
to need,brauchen,Present,du,brauchst
to need,brauchen,Present,er/sie/es,braucht
to need,brauchen,Present,wir,brauchen
to need,brauchen,Present,ihr,braucht
to need,brauchen,Present,sie/Sie,brauchen
to need,brauchen,Imperfect,ich,brauchte
to need,brauchen,Imperfect,du,brauchtest
to need,brauchen,Imperfect,er/sie/es,brauchte
to need,brauchen,Imperfect,wir,brauchten
to need,brauchen,Imperfect,ihr,brauchtet
to need,brauchen,Imperfect,sie/Sie,brauchten
to need,brauchen,Perfect,ich,habe gebraucht
to need,brauchen,Perfect,du,hast gebraucht
to need,brauchen,Perfect,er/sie/es,hat gebraucht
to need,brauchen,Perfect,wir,haben gebraucht
to need,brauchen,Perfect,ihr,habt gebraucht
to need,brauchen,Perfect,sie/Sie,haben gebraucht
to cook,kochen,Present,ich,koche
to cook,kochen,Present,du,kochst
to cook,kochen,Present,er/sie/es,kocht
to cook,kochen,Present,wir,kochen
to cook,kochen,Present,ihr,kocht
to cook,kochen,Present,sie/Sie,kochen
to cook,kochen,Imperfect,ich,kochte
to cook,kochen,Imperfect,du,kochtest
to cook,kochen,Imperfect,er/sie/es,kochte
to cook,kochen,Imperfect,wir,kochten
to cook,kochen,Imperfect,ihr,kochtet
to cook,kochen,Imperfect,sie/Sie,kochten
to cook,kochen,Perfect,ich,habe gekocht
to cook,kochen,Perfect,du,hast gekocht
to cook,kochen,Perfect,er/sie/es,hat gekocht
to cook,kochen,Perfect,wir,haben gekocht
to cook,kochen,Perfect,ihr,habt gekocht
to cook,kochen,Perfect,sie/Sie,haben gekocht
to like,mögen,Present,ich,mag
to like,mögen,Present,du,magst
to like,mögen,Present,er/sie/es,mag
to like,mögen,Present,wir,mögen
to like,mögen,Present,ihr,mögt
to like,mögen,Present,sie/Sie,mögen
to like,mögen,Imperfect,ich,mochte
to like,mögen,Imperfect,du,mochtest
to like,mögen,Imperfect,er/sie/es,mochte
to like,mögen,Imperfect,wir,mochten
to like,mögen,Imperfect,ihr,mochtet
to like,mögen,Imperfect,sie/Sie,mochten
to like,mögen,Perfect,ich,habe gemocht
to like,mögen,Perfect,du,hast gemocht
to like,mögen,Perfect,er/sie/es,hat gemocht
to like,mögen,Perfect,wir,haben gemocht
to like,mögen,Perfect,ihr,habt gemocht
to like,mögen,Perfect,sie/Sie,haben gemocht
to buy,kaufen,Present,ich,kaufe
to buy,kaufen,Present,du,kaufst
to buy,kaufen,Present,er/sie/es,kauft
to buy,kaufen,Present,wir,kaufen
to buy,kaufen,Present,ihr,kauft
to buy,kaufen,Present,sie/Sie,kaufen
to buy,kaufen,Imperfect,ich,kaufte
to buy,kaufen,Imperfect,du,kauftest
to buy,kaufen,Imperfect,er/sie/es,kaufte
to buy,kaufen,Imperfect,wir,kauften
to buy,kaufen,Imperfect,ihr,kauftet
to buy,kaufen,Imperfect,sie/Sie,kauften
to buy,kaufen,Perfect,ich,habe gekauft
to buy,kaufen,Perfect,du,hast gekauft
to buy,kaufen,Perfect,er/sie/es,hat gekauft
to buy,kaufen,Perfect,wir,haben gekauft
to buy,kaufen,Perfect,ihr,habt gekauft
to buy,kaufen,Perfect,sie/Sie,haben gekauft
to take,nehmen,Present,ich,nehme
to take,nehmen,Present,du,nimmst
to take,nehmen,Present,er/sie/es,nimmt
to take,nehmen,Present,wir,nehmen
to take,nehmen,Present,ihr,nehmt
to take,nehmen,Present,sie/Sie,nehmen
to take,nehmen,Imperfect,ich,nahm
to take,nehmen,Imperfect,du,nahmst
to take,nehmen,Imperfect,er/sie/es,nahm
to take,nehmen,Imperfect,wir,nahmen
to take,nehmen,Imperfect,ihr,nahmt
to take,nehmen,Imperfect,sie/Sie,nahmen
to take,nehmen,Perfect,ich,habe genommen
to take,nehmen,Perfect,du,hast genommen
to take,nehmen,Perfect,er/sie/es,hat genommen
to take,nehmen,Perfect,wir,haben genommen
to take,nehmen,Perfect,ihr,habt genommen
to take,nehmen,Perfect,sie/Sie,haben genommen
to furnish,möblieren,Present,ich,möbliere
to furnish,möblieren,Present,du,möblierst
to furnish,möblieren,Present,er/sie/es,möbliert
to furnish,möblieren,Present,wir,möblieren
to furnish,möblieren,Present,ihr,möbliert
to furnish,möblieren,Present,sie/Sie,möblieren
to furnish,möblieren,Imperfect,ich,möblierte
to furnish,möblieren,Imperfect,du,möbliertest
to furnish,möblieren,Imperfect,er/sie/es,möblierte
to furnish,möblieren,Imperfect,wir,möblierten
to furnish,möblieren,Imperfect,ihr,möbliertet
to furnish,möblieren,Imperfect,sie/Sie,möblierten
to furnish,möblieren,Perfect,ich,habe möbliert
to furnish,möblieren,Perfect,du,hast möbliert
to furnish,möblieren,Perfect,er/sie/es,hat möbliert
to furnish,möblieren,Perfect,wir,haben möbliert
to furnish,möblieren,Perfect,ihr,habt möbliert
to furnish,möblieren,Perfect,sie/Sie,haben möbliert
to start,anfangen,Present,ich,fange
to start,anfangen,Present,du,fängst
to start,anfangen,Present,er/sie/es,fängt
to start,anfangen,Present,wir,fangen
to start,anfangen,Present,ihr,fangt
to start,anfangen,Present,sie/Sie,fangen
to start,anfangen,Imperfect,an,sie
to start,anfangen,Perfect,ich,habe angefangen
to start,anfangen,Perfect,du,hast angefangen
to start,anfangen,Perfect,er/sie/es,hat angefangen
to start,anfangen,Perfect,wir,haben angefangen
to start,anfangen,Perfect,ihr,habt angefangen
to start,anfangen,Perfect,sie/Sie,haben angefangen
to call up,anrufen,Present,ich,rufe
to call up,anrufen,Present,du,rufst
to call up,anrufen,Present,er/sie/es,ruft
to call up,anrufen,Present,wir,rufen
to call up,anrufen,Present,ihr,ruft
to call up,anrufen,Present,sie/Sie,rufen
to call up,anrufen,Imperfect,an,sie
to call up,anrufen,Perfect,ich,habe angerufen
to call up,anrufen,Perfect,du,hast angerufen
to call up,anrufen,Perfect,er/sie/es,hat angerufen
to call up,anrufen,Perfect,wir,haben angerufen
to call up,anrufen,Perfect,ihr,habt angerufen
to call up,anrufen,Perfect,sie/Sie,haben angerufen
to buy,einkaufen,Present,ich,kaufe
to buy,einkaufen,Present,du,kaufst
to buy,einkaufen,Present,er/sie/es,kauft
to buy,einkaufen,Present,wir,kaufen
to buy,einkaufen,Present,ihr,kauft
to buy,einkaufen,Present,sie/Sie,kaufen
to buy,einkaufen,Imperfect,ein,sie
to buy,einkaufen,Perfect,ich,habe eingekauft
to buy,einkaufen,Perfect,du,hast eingekauft
to buy,einkaufen,Perfect,er/sie/es,hat eingekauft
to buy,einkaufen,Perfect,wir,haben eingekauft
to buy,einkaufen,Perfect,ihr,habt eingekauft
to buy,einkaufen,Perfect,sie/Sie,haben eingekauft
to respond,beantworten,Present,ich,beantworte
to respond,beantworten,Present,du,beantwortest
to respond,beantworten,Present,er/sie/es,beantwortet
to respond,beantworten,Present,wir,beantworten
to respond,beantworten,Present,ihr,beantwortet
to respond,beantworten,Present,sie/Sie,beantworten
to respond,beantworten,Imperfect,ich,beantwortete
to respond,beantworten,Imperfect,du,beantwortetest
to respond,beantworten,Imperfect,er/sie/es,beantwortete
to respond,beantworten,Imperfect,wir,beantworteten
to respond,beantworten,Imperfect,ihr,beantwortetet
to respond,beantworten,Imperfect,sie/Sie,beantworteten
to respond,beantworten,Perfect,ich,habe beantwortet
to respond,beantworten,Perfect,du,hast beantwortet
to respond,beantworten,Perfect,er/sie/es,hat beantwortet
to respond,beantworten,Perfect,wir,haben beantwortet
to respond,beantworten,Perfect,ihr,habt beantwortet
to respond,beantworten,Perfect,sie/Sie,haben beantwortet
to decide,entscheiden,Present,ich,entscheide
to decide,entscheiden,Present,du,entscheidest
to decide,entscheiden,Present,er/sie/es,entscheidet
to decide,entscheiden,Present,wir,entscheiden
to decide,entscheiden,Present,ihr,entscheidet
to decide,entscheiden,Present,sie/Sie,entscheiden
to decide,entscheiden,Imperfect,ich,entschied
to decide,entscheiden,Imperfect,du,entschiedest
to decide,entscheiden,Imperfect,er/sie/es,entschied
to decide,entscheiden,Imperfect,wir,entschieden
to decide,entscheiden,Imperfect,ihr,entschiedet
to decide,entscheiden,Imperfect,sie/Sie,entschieden
to decide,entscheiden,Perfect,ich,habe entschieden
to decide,entscheiden,Perfect,du,hast entschieden
to decide,entscheiden,Perfect,er/sie/es,hat entschieden
to decide,entscheiden,Perfect,wir,haben entschieden
to decide,entscheiden,Perfect,ihr,habt entschieden
to decide,entscheiden,Perfect,sie/Sie,haben entschieden
to invite,einladen,Present,ich,lade
to invite,einladen,Present,du,lädst
to invite,einladen,Present,er/sie/es,lädt
to invite,einladen,Present,wir,laden
to invite,einladen,Present,ihr,ladet
to invite,einladen,Present,sie/Sie,laden
to invite,einladen,Imperfect,ein,sie
to invite,einladen,Perfect,ich,habe eingeladen
to invite,einladen,Perfect,du,hast eingeladen
to invite,einladen,Perfect,er/sie/es,hat eingeladen
to invite,einladen,Perfect,wir,haben eingeladen
to invite,einladen,Perfect,ihr,habt eingeladen
to invite,einladen,Perfect,sie/Sie,haben eingeladen
to sell,verkaufen,Present,ich,verkaufe
to sell,verkaufen,Present,du,verkaufst
to sell,verkaufen,Present,er/sie/es,verkauft
to sell,verkaufen,Present,wir,verkaufen
to sell,verkaufen,Present,ihr,verkauft
to sell,verkaufen,Present,sie/Sie,verkaufen
to sell,verkaufen,Imperfect,ich,verkaufte
to sell,verkaufen,Imperfect,du,verkauftest
to sell,verkaufen,Imperfect,er/sie/es,verkaufte
to sell,verkaufen,Imperfect,wir,verkauften
to sell,verkaufen,Imperfect,ihr,verkauftet
to sell,verkaufen,Imperfect,sie/Sie,verkauften
to sell,verkaufen,Perfect,ich,habe verkauft
to sell,verkaufen,Perfect,du,hast verkauft
to sell,verkaufen,Perfect,er/sie/es,hat verkauft
to sell,verkaufen,Perfect,wir,haben verkauft
to sell,verkaufen,Perfect,ihr,habt verkauft
to sell,verkaufen,Perfect,sie/Sie,haben verkauft
to award a PhD,promovieren,Present,ich,promoviere
to award a PhD,promovieren,Present,du,promovierst
to award a PhD,promovieren,Present,er/sie/es,promoviert
to award a PhD,promovieren,Present,wir,promovieren
to award a PhD,promovieren,Present,ihr,promoviert
to award a PhD,promovieren,Present,sie/Sie,promovieren
to award a PhD,promovieren,Imperfect,ich,promovierte
to award a PhD,promovieren,Imperfect,du,promoviertest
to award a PhD,promovieren,Imperfect,er/sie/es,promovierte
to award a PhD,promovieren,Imperfect,wir,promovierten
to award a PhD,promovieren,Imperfect,ihr,promoviertet
to award a PhD,promovieren,Imperfect,sie/Sie,promovierten
to award a PhD,promovieren,Perfect,ich,habe promoviert
to award a PhD,promovieren,Perfect,du,hast promoviert
to award a PhD,promovieren,Perfect,er/sie/es,hat promoviert
to award a PhD,promovieren,Perfect,wir,haben promoviert
to award a PhD,promovieren,Perfect,ihr,habt promoviert
to award a PhD,promovieren,Perfect,sie/Sie,haben promoviert
to turn on,anmachen,Present,ich,mache
to turn on,anmachen,Present,du,machst
to turn on,anmachen,Present,er/sie/es,macht
to turn on,anmachen,Present,wir,machen
to turn on,anmachen,Present,ihr,macht
to turn on,anmachen,Present,sie/Sie,machen
to turn on,anmachen,Imperfect,an,sie
to turn on,anmachen,Perfect,ich,habe angemacht
to turn on,anmachen,Perfect,du,hast angemacht
to turn on,anmachen,Perfect,er/sie/es,hat angemacht
to turn on,anmachen,Perfect,wir,haben angemacht
to turn on,anmachen,Perfect,ihr,habt angemacht
to turn on,anmachen,Perfect,sie/Sie,haben angemacht
to turn off,ausschalten,Present,ich,schalte
to turn off,ausschalten,Present,du,schaltest
to turn off,ausschalten,Present,er/sie/es,schaltet
to turn off,ausschalten,Present,wir,schalten
to turn off,ausschalten,Present,ihr,schaltet
to turn off,ausschalten,Present,sie/Sie,schalten
to turn off,ausschalten,Imperfect,aus,sie
to turn off,ausschalten,Perfect,ich,habe ausgeschaltet
to turn off,ausschalten,Perfect,du,hast ausgeschaltet
to turn off,ausschalten,Perfect,er/sie/es,hat ausgeschaltet
to turn off,ausschalten,Perfect,wir,haben ausgeschaltet
to turn off,ausschalten,Perfect,ihr,habt ausgeschaltet
to turn off,ausschalten,Perfect,sie/Sie,haben ausgeschaltet
to stick,kleben,Present,ich,klebe
to stick,kleben,Present,du,klebst
to stick,kleben,Present,er/sie/es,klebt
to stick,kleben,Present,wir,kleben
to stick,kleben,Present,ihr,klebt
to stick,kleben,Present,sie/Sie,kleben
to stick,kleben,Imperfect,ich,klebte
to stick,kleben,Imperfect,du,klebtest
to stick,kleben,Imperfect,er/sie/es,klebte
to stick,kleben,Imperfect,wir,klebten
to stick,kleben,Imperfect,ihr,klebtet
to stick,kleben,Imperfect,sie/Sie,klebten
to stick,kleben,Perfect,ich,habe geklebt
to stick,kleben,Perfect,du,hast geklebt
to stick,kleben,Perfect,er/sie/es,hat geklebt
to stick,kleben,Perfect,wir,haben geklebt
to stick,kleben,Perfect,ihr,habt geklebt
to stick,kleben,Perfect,sie/Sie,haben geklebt
to cancel,absagen,Present,ich,sage
to cancel,absagen,Present,du,sagst
to cancel,absagen,Present,er/sie/es,sagt
to cancel,absagen,Present,wir,sagen
to cancel,absagen,Present,ihr,sagt
to cancel,absagen,Present,sie/Sie,sagen
to cancel,absagen,Imperfect,ab,sie
to cancel,absagen,Perfect,ich,habe abgesagt
to cancel,absagen,Perfect,du,hast abgesagt
to cancel,absagen,Perfect,er/sie/es,hat abgesagt
to cancel,absagen,Perfect,wir,haben abgesagt
to cancel,absagen,Perfect,ihr,habt abgesagt
to cancel,absagen,Perfect,sie/Sie,haben abgesagt
to demand,fordern,Present,ich,fordere
to demand,fordern,Present,du,forderst
to demand,fordern,Present,er/sie/es,fordert
to demand,fordern,Present,wir,fordern
to demand,fordern,Present,ihr,fordert
to demand,fordern,Present,sie/Sie,fordern
to demand,fordern,Imperfect,ich,forderte
to demand,fordern,Imperfect,du,fordertest
to demand,fordern,Imperfect,er/sie/es,forderte
to demand,fordern,Imperfect,wir,forderten
to demand,fordern,Imperfect,ihr,fordertet
to demand,fordern,Imperfect,sie/Sie,forderten
to demand,fordern,Perfect,ich,habe gefordert
to demand,fordern,Perfect,du,hast gefordert
to demand,fordern,Perfect,er/sie/es,hat gefordert
to demand,fordern,Perfect,wir,haben gefordert
to demand,fordern,Perfect,ihr,habt gefordert
to demand,fordern,Perfect,sie/Sie,haben gefordert
to bbq,grillen,Present,ich,grille
to bbq,grillen,Present,du,grillst
to bbq,grillen,Present,er/sie/es,grillt
to bbq,grillen,Present,wir,grillen
to bbq,grillen,Present,ihr,grillt
to bbq,grillen,Present,sie/Sie,grillen
to bbq,grillen,Imperfect,ich,grillte
to bbq,grillen,Imperfect,du,grilltest
to bbq,grillen,Imperfect,er/sie/es,grillte
to bbq,grillen,Imperfect,wir,grillten
to bbq,grillen,Imperfect,ihr,grilltet
to bbq,grillen,Imperfect,sie/Sie,grillten
to bbq,grillen,Perfect,ich,habe gegrillt
to bbq,grillen,Perfect,du,hast gegrillt
to bbq,grillen,Perfect,er/sie/es,hat gegrillt
to bbq,grillen,Perfect,wir,haben gegrillt
to bbq,grillen,Perfect,ihr,habt gegrillt
to bbq,grillen,Perfect,sie/Sie,haben gegrillt
to inspect,besichtigen,Present,ich,besichtige
to inspect,besichtigen,Present,du,besichtigst
to inspect,besichtigen,Present,er/sie/es,besichtigt
to inspect,besichtigen,Present,wir,besichtigen
to inspect,besichtigen,Present,ihr,besichtigt
to inspect,besichtigen,Present,sie/Sie,besichtigen
to inspect,besichtigen,Imperfect,ich,besichtigte
to inspect,besichtigen,Imperfect,du,besichtigtest
to inspect,besichtigen,Imperfect,er/sie/es,besichtigte
to inspect,besichtigen,Imperfect,wir,besichtigten
to inspect,besichtigen,Imperfect,ihr,besichtigtet
to inspect,besichtigen,Imperfect,sie/Sie,besichtigten
to inspect,besichtigen,Perfect,ich,habe besichtigt
to inspect,besichtigen,Perfect,du,hast besichtigt
to inspect,besichtigen,Perfect,er/sie/es,hat besichtigt
to inspect,besichtigen,Perfect,wir,haben besichtigt
to inspect,besichtigen,Perfect,ihr,habt besichtigt
to inspect,besichtigen,Perfect,sie/Sie,haben besichtigt
to mix,vermischen,Present,ich,vermische
to mix,vermischen,Present,du,vermischst
to mix,vermischen,Present,er/sie/es,vermischt
to mix,vermischen,Present,wir,vermischen
to mix,vermischen,Present,ihr,vermischt
to mix,vermischen,Present,sie/Sie,vermischen
to mix,vermischen,Imperfect,ich,vermischte
to mix,vermischen,Imperfect,du,vermischtest
to mix,vermischen,Imperfect,er/sie/es,vermischte
to mix,vermischen,Imperfect,wir,vermischten
to mix,vermischen,Imperfect,ihr,vermischtet
to mix,vermischen,Imperfect,sie/Sie,vermischten
to mix,vermischen,Perfect,ich,habe vermischt
to mix,vermischen,Perfect,du,hast vermischt
to mix,vermischen,Perfect,er/sie/es,hat vermischt
to mix,vermischen,Perfect,wir,haben vermischt
to mix,vermischen,Perfect,ihr,habt vermischt
to mix,vermischen,Perfect,sie/Sie,haben vermischt
to use,verwenden,Present,ich,verwende
to use,verwenden,Present,du,verwendest
to use,verwenden,Present,er/sie/es,verwendet
to use,verwenden,Present,wir,verwenden
to use,verwenden,Present,ihr,verwendet
to use,verwenden,Present,sie/Sie,verwenden
to use,verwenden,Imperfect,ich,verwandte
to use,verwenden,Imperfect,du,verwandtest
to use,verwenden,Imperfect,er/sie/es,verwandte
to use,verwenden,Imperfect,wir,verwandten
to use,verwenden,Imperfect,ihr,verwandtet
to use,verwenden,Imperfect,sie/Sie,verwandten
to use,verwenden,Perfect,ich,habe verwandt
to use,verwenden,Perfect,du,hast verwandt
to use,verwenden,Perfect,er/sie/es,hat verwandt
to use,verwenden,Perfect,wir,haben verwandt
to use,verwenden,Perfect,ihr,habt verwandt
to use,verwenden,Perfect,sie/Sie,haben verwandt
to want,wollen,Present,ich,will
to want,wollen,Present,du,willst
to want,wollen,Present,er/sie/es,will
to want,wollen,Present,wir,wollen
to want,wollen,Present,ihr,wollt
to want,wollen,Present,sie/Sie,wollen
to want,wollen,Imperfect,ich,wollte
to want,wollen,Imperfect,du,wolltest
to want,wollen,Imperfect,er/sie/es,wollte
to want,wollen,Imperfect,wir,wollten
to want,wollen,Imperfect,ihr,wolltet
to want,wollen,Imperfect,sie/Sie,wollten
to want,wollen,Perfect,ich,habe gewollt
to want,wollen,Perfect,du,hast gewollt
to want,wollen,Perfect,er/sie/es,hat gewollt
to want,wollen,Perfect,wir,haben gewollt
to want,wollen,Perfect,ihr,habt gewollt
to want,wollen,Perfect,sie/Sie,haben gewollt
to be able to,können,Present,ich,kann
to be able to,können,Present,du,kannst
to be able to,können,Present,er/sie/es,kann
to be able to,können,Present,wir,können
to be able to,können,Present,ihr,könnt
to be able to,können,Present,sie/Sie,können
to be able to,können,Imperfect,ich,konnte
to be able to,können,Imperfect,du,konntest
to be able to,können,Imperfect,er/sie/es,konnte
to be able to,können,Imperfect,wir,konnten
to be able to,können,Imperfect,ihr,konntet
to be able to,können,Imperfect,sie/Sie,konnten
to be able to,können,Perfect,ich,habe gekonnt
to be able to,können,Perfect,du,hast gekonnt
to be able to,können,Perfect,er/sie/es,hat gekonnt
to be able to,können,Perfect,wir,haben gekonnt
to be able to,können,Perfect,ihr,habt gekonnt
to be able to,können,Perfect,sie/Sie,haben gekonnt
to be allowed to,dürfen,Present,ich,darf
to be allowed to,dürfen,Present,du,darfst
to be allowed to,dürfen,Present,er/sie/es,darf
to be allowed to,dürfen,Present,wir,dürfen
to be allowed to,dürfen,Present,ihr,dürft
to be allowed to,dürfen,Present,sie/Sie,dürfen
to be allowed to,dürfen,Imperfect,ich,durfte
to be allowed to,dürfen,Imperfect,du,durftest
to be allowed to,dürfen,Imperfect,er/sie/es,durfte
to be allowed to,dürfen,Imperfect,wir,durften
to be allowed to,dürfen,Imperfect,ihr,durftet
to be allowed to,dürfen,Imperfect,sie/Sie,durften
to be allowed to,dürfen,Perfect,ich,habe gedurft
to be allowed to,dürfen,Perfect,du,hast gedurft
to be allowed to,dürfen,Perfect,er/sie/es,hat gedurft
to be allowed to,dürfen,Perfect,wir,haben gedurft
to be allowed to,dürfen,Perfect,ihr,habt gedurft
to be allowed to,dürfen,Perfect,sie/Sie,haben gedurft
to have to,müssen,Present,ich,muss
to have to,müssen,Present,du,musst
to have to,müssen,Present,er/sie/es,muss
to have to,müssen,Present,wir,müssen
to have to,müssen,Present,ihr,müsst
to have to,müssen,Present,sie/Sie,müssen
to have to,müssen,Imperfect,ich,musste
to have to,müssen,Imperfect,du,musstest
to have to,müssen,Imperfect,er/sie/es,musste
to have to,müssen,Imperfect,wir,mussten
to have to,müssen,Imperfect,ihr,musstet
to have to,müssen,Imperfect,sie/Sie,mussten
to have to,müssen,Perfect,ich,habe gemusst
to have to,müssen,Perfect,du,hast gemusst
to have to,müssen,Perfect,er/sie/es,hat gemusst
to have to,müssen,Perfect,wir,haben gemusst
to have to,müssen,Perfect,ihr,habt gemusst
to have to,müssen,Perfect,sie/Sie,haben gemusst
to be supposed to,sollen,Present,ich,soll
to be supposed to,sollen,Present,du,sollst
to be supposed to,sollen,Present,er/sie/es,soll
to be supposed to,sollen,Present,wir,sollen
to be supposed to,sollen,Present,ihr,sollt
to be supposed to,sollen,Present,sie/Sie,sollen
to be supposed to,sollen,Imperfect,ich,sollte
to be supposed to,sollen,Imperfect,du,solltest
to be supposed to,sollen,Imperfect,er/sie/es,sollte
to be supposed to,sollen,Imperfect,wir,sollten
to be supposed to,sollen,Imperfect,ihr,solltet
to be supposed to,sollen,Imperfect,sie/Sie,sollten
to be supposed to,sollen,Perfect,ich,habe gesollt
to be supposed to,sollen,Perfect,du,hast gesollt
to be supposed to,sollen,Perfect,er/sie/es,hat gesollt
to be supposed to,sollen,Perfect,wir,haben gesollt
to be supposed to,sollen,Perfect,ihr,habt gesollt
to be supposed to,sollen,Perfect,sie/Sie,haben gesollt
